k,TP_maintained_risky,FP_unnecessary_maintenance,TN_correct_no_maintenance,FN_missed_risky_cases,false_negative_rate,false_positive_rate,total_cost,average_cost_per_sample,dataset,cost_fn,cost_fp,split_used_for_k_selection
2.9,420,2008,1808,0,0.0,0.5262054507337526,2008.0,0.4740321057601511,FD001,20,1.0,calibration
2.95,420,2062,1754,0,0.0,0.540356394129979,2062.0,0.48677998111425874,FD001,20,1.0,calibration
3.0,420,2109,1707,0,0.0,0.5526729559748428,2109.0,0.4978753541076487,FD001,20,1.0,calibration
0.0,368,58,3758,52,0.12380952380952381,0.01519916142557652,2658.0,0.6274787535410765,FD001,50,1.0,calibration
0.05,372,63,3753,48,0.11428571428571428,0.01650943396226415,2463.0,0.5814447592067988,FD001,50,1.0,calibration
0.1,373,68,3748,47,0.11190476190476191,0.01781970649895178,2418.0,0.5708215297450425,FD001,50,1.0,calibration
0.15,375,78,3738,45,0.10714285714285714,0.020440251572327043,2328.0,0.5495750708215298,FD001,50,1.0,calibration
0.2,377,85,3731,43,0.10238095238095238,0.022274633123689727,2235.0,0.5276203966005666,FD001,50,1.0,calibration
0.25,380,88,3728,40,0.09523809523809523,0.023060796645702306,2088.0,0.49291784702549574,FD001,50,1.0,calibration
0.3,381,91,3725,39,0.09285714285714286,0.023846960167714884,2041.0,0.48182247403210576,FD001,50,1.0,calibration
0.35,384,100,3716,36,0.08571428571428572,0.02620545073375262,1900.0,0.4485363550519358,FD001,50,1.0,calibration
0.4,388,108,3708,32,0.0761904761904762,0.02830188679245283,1708.0,0.40321057601510857,FD001,50,1.0,calibration
0.45,390,114,3702,30,0.07142857142857142,0.029874213836477988,1614.0,0.3810198300283286,FD001,50,1.0,calibration
0.5,392,124,3692,28,0.06666666666666667,0.03249475890985325,1524.0,0.3597733711048159,FD001,50,1.0,calibration
0.55,392,134,3682,28,0.06666666666666667,0.03511530398322851,1534.0,0.362134088762984,FD001,50,1.0,calibration
0.6,397,141,3675,23,0.05476190476190476,0.036949685534591194,1291.0,0.3047686496694995,FD001,50,1.0,calibration
0.65,401,154,3662,19,0.04523809523809524,0.04035639412997904,1104.0,0.26062322946175637,FD001,50,1.0,calibration
0.7,403,166,3650,17,0.04047619047619048,0.04350104821802935,1016.0,0.23984891406987724,FD001,50,1.0,calibration
0.75,405,179,3637,15,0.03571428571428571,0.04690775681341719,929.0,0.21931067044381491,FD001,50,1.0,calibration
0.8,406,194,3622,14,0.03333333333333333,0.05083857442348008,894.0,0.21104815864022664,FD001,50,1.0,calibration
0.85,407,209,3607,13,0.030952380952380953,0.054769392033542974,859.0,0.20278564683663833,FD001,50,1.0,calibration
0.9,409,225,3591,11,0.02619047619047619,0.0589622641509434,775.0,0.18295561850802644,FD001,50,1.0,calibration
0.95,411,240,3576,9,0.02142857142857143,0.06289308176100629,690.0,0.16288951841359772,FD001,50,1.0,calibration
1.0,413,254,3562,7,0.016666666666666666,0.06656184486373165,604.0,0.14258734655335223,FD001,50,1.0,calibration
1.05,416,267,3549,4,0.009523809523809525,0.0699685534591195,467.0,0.11024551463644948,FD001,50,1.0,calibration
1.1,417,290,3526,3,0.007142857142857143,0.0759958071278826,440.0,0.10387157695939565,FD001,50,1.0,calibration
1.15,417,314,3502,3,0.007142857142857143,0.08228511530398323,464.0,0.10953729933899906,FD001,50,1.0,calibration
1.2,417,342,3474,3,0.007142857142857143,0.08962264150943396,492.0,0.11614730878186968,FD001,50,1.0,calibration
1.25,418,363,3453,2,0.004761904761904762,0.09512578616352202,463.0,0.10930122757318225,FD001,50,1.0,calibration
1.3,418,382,3434,2,0.004761904761904762,0.100104821802935,482.0,0.11378659112370161,FD001,50,1.0,calibration
1.35,420,416,3400,0,0.0,0.1090146750524109,416.0,0.09820585457979225,FD001,50,1.0,calibration
1.4,420,455,3361,0,0.0,0.11923480083857442,455.0,0.10741265344664779,FD001,50,1.0,calibration
1.45,420,482,3334,0,0.0,0.12631027253668764,482.0,0.11378659112370161,FD001,50,1.0,calibration
1.5,420,509,3307,0,0.0,0.13338574423480085,509.0,0.12016052880075542,FD001,50,1.0,calibration
1.55,420,568,3248,0,0.0,0.1488469601677149,568.0,0.13408876298394712,FD001,50,1.0,calibration
1.6,420,602,3214,0,0.0,0.15775681341719078,602.0,0.1421152030217186,FD001,50,1.0,calibration
1.65,420,645,3171,0,0.0,0.1690251572327044,645.0,0.15226628895184136,FD001,50,1.0,calibration
1.7,420,689,3127,0,0.0,0.18055555555555555,689.0,0.16265344664778092,FD001,50,1.0,calibration
1.75,420,736,3080,0,0.0,0.1928721174004193,736.0,0.17374881964117092,FD001,50,1.0,calibration
1.8,420,783,3033,0,0.0,0.20518867924528303,783.0,0.1848441926345609,FD001,50,1.0,calibration
1.85,420,830,2986,0,0.0,0.21750524109014674,830.0,0.1959395656279509,FD001,50,1.0,calibration
1.9,420,882,2934,0,0.0,0.23113207547169812,882.0,0.20821529745042494,FD001,50,1.0,calibration
1.95,420,934,2882,0,0.0,0.24475890985324947,934.0,0.22049102927289896,FD001,50,1.0,calibration
2.0,420,998,2818,0,0.0,0.26153039832285113,998.0,0.2355996222851747,FD001,50,1.0,calibration
2.05,420,1073,2743,0,0.0,0.2811844863731656,1073.0,0.2533050047214353,FD001,50,1.0,calibration
2.1,420,1129,2687,0,0.0,0.29585953878406707,1129.0,0.26652502360717656,FD001,50,1.0,calibration
2.15,420,1168,2648,0,0.0,0.3060796645702306,1168.0,0.2757318224740321,FD001,50,1.0,calibration
2.2,420,1214,2602,0,0.0,0.31813417190775684,1214.0,0.2865911237016053,FD001,50,1.0,calibration
2.25,420,1270,2546,0,0.0,0.3328092243186583,1270.0,0.29981114258734654,FD001,50,1.0,calibration
2.3,420,1320,2496,0,0.0,0.34591194968553457,1320.0,0.311614730878187,FD001,50,1.0,calibration
2.35,420,1376,2440,0,0.0,0.36058700209643607,1376.0,0.32483474976392823,FD001,50,1.0,calibration
2.4,420,1431,2385,0,0.0,0.375,1431.0,0.3378186968838527,FD001,50,1.0,calibration
2.45,420,1485,2331,0,0.0,0.3891509433962264,1485.0,0.35056657223796034,FD001,50,1.0,calibration
2.5,420,1541,2275,0,0.0,0.40382599580712786,1541.0,0.3637865911237016,FD001,50,1.0,calibration
2.55,420,1598,2218,0,0.0,0.4187631027253669,1598.0,0.37724268177525966,FD001,50,1.0,calibration
2.6,420,1658,2158,0,0.0,0.43448637316561844,1658.0,0.3914069877242682,FD001,50,1.0,calibration
2.65,420,1717,2099,0,0.0,0.4499475890985325,1717.0,0.40533522190745985,FD001,50,1.0,calibration
2.7,420,1779,2037,0,0.0,0.4661949685534591,1779.0,0.419971671388102,FD001,50,1.0,calibration
2.75,420,1843,1973,0,0.0,0.4829664570230608,1843.0,0.4350802644003777,FD001,50,1.0,calibration
2.8,420,1902,1914,0,0.0,0.49842767295597484,1902.0,0.4490084985835694,FD001,50,1.0,calibration
2.85,420,1946,1870,0,0.0,0.509958071278826,1946.0,0.45939565627950896,FD001,50,1.0,calibration
2.9,420,2008,1808,0,0.0,0.5262054507337526,2008.0,0.4740321057601511,FD001,50,1.0,calibration
2.95,420,2062,1754,0,0.0,0.540356394129979,2062.0,0.48677998111425874,FD001,50,1.0,calibration
3.0,420,2109,1707,0,0.0,0.5526729559748428,2109.0,0.4978753541076487,FD001,50,1.0,calibration
0.0,368,58,3758,52,0.12380952380952381,0.01519916142557652,5258.0,1.2412653446647781,FD001,100,1.0,calibration
0.05,372,63,3753,48,0.11428571428571428,0.01650943396226415,4863.0,1.1480169971671388,FD001,100,1.0,calibration
0.1,373,68,3748,47,0.11190476190476191,0.01781970649895178,4768.0,1.125590179414542,FD001,100,1.0,calibration
0.15,375,78,3738,45,0.10714285714285714,0.020440251572327043,4578.0,1.0807365439093484,FD001,100,1.0,calibration
0.2,377,85,3731,43,0.10238095238095238,0.022274633123689727,4385.0,1.0351746931067045,FD001,100,1.0,calibration
0.25,380,88,3728,40,0.09523809523809523,0.023060796645702306,4088.0,0.9650613786591123,FD001,100,1.0,calibration
0.3,381,91,3725,39,0.09285714285714286,0.023846960167714884,3991.0,0.9421624173748819,FD001,100,1.0,calibration
0.35,384,100,3716,36,0.08571428571428572,0.02620545073375262,3700.0,0.8734655335221907,FD001,100,1.0,calibration
0.4,388,108,3708,32,0.0761904761904762,0.02830188679245283,3308.0,0.7809254013220018,FD001,100,1.0,calibration
0.45,390,114,3702,30,0.07142857142857142,0.029874213836477988,3114.0,0.7351274787535411,FD001,100,1.0,calibration
0.5,392,124,3692,28,0.06666666666666667,0.03249475890985325,2924.0,0.6902738432483475,FD001,100,1.0,calibration
0.55,392,134,3682,28,0.06666666666666667,0.03511530398322851,2934.0,0.6926345609065155,FD001,100,1.0,calibration
0.6,397,141,3675,23,0.05476190476190476,0.036949685534591194,2441.0,0.576251180358829,FD001,100,1.0,calibration
0.65,401,154,3662,19,0.04523809523809524,0.04035639412997904,2054.0,0.48489140698772426,FD001,100,1.0,calibration
0.7,403,166,3650,17,0.04047619047619048,0.04350104821802935,1866.0,0.4405099150141643,FD001,100,1.0,calibration
0.75,405,179,3637,15,0.03571428571428571,0.04690775681341719,1679.0,0.39636449480642116,FD001,100,1.0,calibration
0.8,406,194,3622,14,0.03333333333333333,0.05083857442348008,1594.0,0.37629839471199245,FD001,100,1.0,calibration
0.85,407,209,3607,13,0.030952380952380953,0.054769392033542974,1509.0,0.3562322946175637,FD001,100,1.0,calibration
0.9,409,225,3591,11,0.02619047619047619,0.0589622641509434,1325.0,0.312795089707271,FD001,100,1.0,calibration
0.95,411,240,3576,9,0.02142857142857143,0.06289308176100629,1140.0,0.26912181303116145,FD001,100,1.0,calibration
1.0,413,254,3562,7,0.016666666666666666,0.06656184486373165,954.0,0.22521246458923513,FD001,100,1.0,calibration
1.05,416,267,3549,4,0.009523809523809525,0.0699685534591195,667.0,0.15745986779981114,FD001,100,1.0,calibration
1.1,417,290,3526,3,0.007142857142857143,0.0759958071278826,590.0,0.1392823418319169,FD001,100,1.0,calibration
1.15,417,314,3502,3,0.007142857142857143,0.08228511530398323,614.0,0.1449480642115203,FD001,100,1.0,calibration
1.2,417,342,3474,3,0.007142857142857143,0.08962264150943396,642.0,0.15155807365439095,FD001,100,1.0,calibration
1.25,418,363,3453,2,0.004761904761904762,0.09512578616352202,563.0,0.13290840415486307,FD001,100,1.0,calibration
1.3,418,382,3434,2,0.004761904761904762,0.100104821802935,582.0,0.13739376770538245,FD001,100,1.0,calibration
1.35,420,416,3400,0,0.0,0.1090146750524109,416.0,0.09820585457979225,FD001,100,1.0,calibration
1.4,420,455,3361,0,0.0,0.11923480083857442,455.0,0.10741265344664779,FD001,100,1.0,calibration
1.45,420,482,3334,0,0.0,0.12631027253668764,482.0,0.11378659112370161,FD001,100,1.0,calibration
1.5,420,509,3307,0,0.0,0.13338574423480085,509.0,0.12016052880075542,FD001,100,1.0,calibration
1.55,420,568,3248,0,0.0,0.1488469601677149,568.0,0.13408876298394712,FD001,100,1.0,calibration
1.6,420,602,3214,0,0.0,0.15775681341719078,602.0,0.1421152030217186,FD001,100,1.0,calibration
1.65,420,645,3171,0,0.0,0.1690251572327044,645.0,0.15226628895184136,FD001,100,1.0,calibration
1.7,420,689,3127,0,0.0,0.18055555555555555,689.0,0.16265344664778092,FD001,100,1.0,calibration
1.75,420,736,3080,0,0.0,0.1928721174004193,736.0,0.17374881964117092,FD001,100,1.0,calibration
1.8,420,783,3033,0,0.0,0.20518867924528303,783.0,0.1848441926345609,FD001,100,1.0,calibration
1.85,420,830,2986,0,0.0,0.21750524109014674,830.0,0.1959395656279509,FD001,100,1.0,calibration
1.9,420,882,2934,0,0.0,0.23113207547169812,882.0,0.20821529745042494,FD001,100,1.0,calibration
1.95,420,934,2882,0,0.0,0.24475890985324947,934.0,0.22049102927289896,FD001,100,1.0,calibration
2.0,420,998,2818,0,0.0,0.26153039832285113,998.0,0.2355996222851747,FD001,100,1.0,calibration
2.05,420,1073,2743,0,0.0,0.2811844863731656,1073.0,0.2533050047214353,FD001,100,1.0,calibration
2.1,420,1129,2687,0,0.0,0.29585953878406707,1129.0,0.26652502360717656,FD001,100,1.0,calibration
2.15,420,1168,2648,0,0.0,0.3060796645702306,1168.0,0.2757318224740321,FD001,100,1.0,calibration
2.2,420,1214,2602,0,0.0,0.31813417190775684,1214.0,0.2865911237016053,FD001,100,1.0,calibration
2.25,420,1270,2546,0,0.0,0.3328092243186583,1270.0,0.29981114258734654,FD001,100,1.0,calibration
2.3,420,1320,2496,0,0.0,0.34591194968553457,1320.0,0.311614730878187,FD001,100,1.0,calibration
2.35,420,1376,2440,0,0.0,0.36058700209643607,1376.0,0.32483474976392823,FD001,100,1.0,calibration
2.4,420,1431,2385,0,0.0,0.375,1431.0,0.3378186968838527,FD001,100,1.0,calibration
2.45,420,1485,2331,0,0.0,0.3891509433962264,1485.0,0.35056657223796034,FD001,100,1.0,calibration
2.5,420,1541,2275,0,0.0,0.40382599580712786,1541.0,0.3637865911237016,FD001,100,1.0,calibration
2.55,420,1598,2218,0,0.0,0.4187631027253669,1598.0,0.37724268177525966,FD001,100,1.0,calibration
2.6,420,1658,2158,0,0.0,0.43448637316561844,1658.0,0.3914069877242682,FD001,100,1.0,calibration
2.65,420,1717,2099,0,0.0,0.4499475890985325,1717.0,0.40533522190745985,FD001,100,1.0,calibration
2.7,420,1779,2037,0,0.0,0.4661949685534591,1779.0,0.419971671388102,FD001,100,1.0,calibration
2.75,420,1843,1973,0,0.0,0.4829664570230608,1843.0,0.4350802644003777,FD001,100,1.0,calibration
2.8,420,1902,1914,0,0.0,0.49842767295597484,1902.0,0.4490084985835694,FD001,100,1.0,calibration
2.85,420,1946,1870,0,0.0,0.509958071278826,1946.0,0.45939565627950896,FD001,100,1.0,calibration
2.9,420,2008,1808,0,0.0,0.5262054507337526,2008.0,0.4740321057601511,FD001,100,1.0,calibration
2.95,420,2062,1754,0,0.0,0.540356394129979,2062.0,0.48677998111425874,FD001,100,1.0,calibration
3.0,420,2109,1707,0,0.0,0.5526729559748428,2109.0,0.4978753541076487,FD001,100,1.0,calibration
